title,slug,category,location,employment_type,work_mode,apply_url,about,responsibilities,requirements,offer,closing,keywords,date,valid_through,featured
Plant Technician,plant-technician,Engineering & Maintenance,"Mellieħa, Malta",Full-Time,On-Site,https://outreach-recruitment-agency.careers-page.com/jobs/24bb4bf8-0e98-47a0-bdef-2d7a873cd012/apply,"Our client is seeking a skilled and proactive Plant Technician to join its Engineering and Maintenance team within a leading hospitality environment.

The selected candidate will be responsible for the operation, monitoring, maintenance, and repair of the hotel's plant and technical systems, ensuring all equipment operates efficiently and reliably to support the smooth running of the property.

This role is ideal for a technically minded professional with experience in mechanical, electrical, or building services maintenance who enjoys working in a hands-on environment.","Monitor, operate, and maintain hotel plant equipment and technical systems.|Carry out preventive and corrective maintenance on mechanical and electrical installations.|Inspect and maintain HVAC systems, boilers, pumps, motors, generators, water systems, and other plant equipment.|Troubleshoot faults and perform repairs to minimise downtime and ensure operational efficiency.|Conduct routine inspections of plant rooms and technical areas.|Respond promptly to technical breakdowns and emergency maintenance situations.|Maintain accurate maintenance records and complete required documentation.|Assist with energy management initiatives and equipment performance monitoring.|Ensure all work is carried out in accordance with health and safety regulations and company procedures.|Support refurbishment projects and technical upgrades when required.|Work closely with the maintenance team and external contractors to ensure efficient service delivery.","Only candidates currently residing in Malta or candidates based in Europe holding EU nationality will be considered.|Previous experience in plant maintenance, building services, facilities management, or a similar technical role.|Knowledge of mechanical and electrical systems, including HVAC, pumps, motors, boilers, and water treatment systems.|Technical qualification in Electrical, Mechanical, Building Services Engineering, or a related field will be considered an asset.|Electrical licence or certification is considered an advantage.|Strong troubleshooting and problem-solving skills.|Ability to work independently and as part of a team.|Good communication and organisational skills.|Experience within a hotel, commercial, or industrial environment will be considered an asset.|What’s on Offer|Opportunity to join a reputable hospitality organisation.|Stable full-time employment.|Professional and supportive working environment.|Ongoing training and career development opportunities.|Exposure to a wide range of modern building and plant systems.|If you are a hands-on technician looking to develop your career within a professional hospitality environment, we would love to hear from you. Apply today and become part of a dedicated team committed to operational excellence.","Opportunity to join a reputable hospitality organisation.|Stable full-time employment.|Professional and supportive working environment.|Ongoing training and career development opportunities.|Exposure to a wide range of modern building and plant systems.|If you are a hands-on technician looking to develop your career within a professional hospitality environment, we would love to hear from you. Apply today and become part of a dedicated team committed to operational excellence.",,,2026-06-09,2026-12-31,true
"Application Developer (.NET, SharePoint) - Hybrid",application-developer-net-sharepoint-hybrid,IT & Technology,"Valletta, Malta",Full-Time,Remote,https://outreach-recruitment-agency.careers-page.com/jobs/3ce594da-35ce-4f82-93d2-1c99624b5bd8/apply,"We currently have a vacancy for an Application Developer (.NET & SharePoint) fluent in English, to offer his/her services as an expert remotely within EU. In the context of the first assignment, the successful candidate will be integrated into the Development team of the company that will closely cooperate with a major client’s IT team onsite.

Your tasks

• Configuration, development and implementation of ICT components, including source code, solution architecture, software components, design patterns, database schemas, and configuration of the respective backend systems, including cloud and on-premises platforms and infrastructure;
• Implement task automation and continuous integration/continuous delivery (CI/CD) for ICT projects;
• Perform data clean-up automation and data migrations;
• Design, create, extend and improve database functionalities for integration and data syncing;
• Migration of SharePoint applications to various SharePoint versions, as well as improvement and maintenance of existing SharePoint applications;
• Implement the final design (i.e. ""look-and-feel"") of the User Interface (UI);
• Design, implement, test and maintain integrations with other information systems and platforms, as required;
• Produce and maintain technical documentation, including solution architecture documentation, operational maintenance manuals, version description documents, release guidelines, and user manuals;
• Enhance the security posture of applications based on security vulnerability assessments and other best practices.","Configuration, development and implementation of ICT components, including source code, solution architecture, software components, design patterns, database schemas, and configuration of the respective backend systems, including cloud and on-premises platforms and infrastructure;|Implement task automation and continuous integration/continuous delivery (CI/CD) for ICT projects;|Perform data clean-up automation and data migrations;|Design, create, extend and improve database functionalities for integration and data syncing;|Migration of SharePoint applications to various SharePoint versions, as well as improvement and maintenance of existing SharePoint applications;|Implement the final design (i.e. ""look-and-feel"") of the User Interface (UI);|Design, implement, test and maintain integrations with other information systems and platforms, as required;|Produce and maintain technical documentation, including solution architecture documentation, operational maintenance manuals, version description documents, release guidelines, and user manuals;|Enhance the security posture of applications based on security vulnerability assessments and other best practices.","University degree in IT combined with relevant IT professional experience of at least 6 years;|Experience in software development in .NET (C# or VB.NET), ASP.NET, ASP.NET MVC, ASP.NET Web API, and Entity Framework;|Experience in development of SharePoint on-prem applications;|Experience in development of unit tests to test front-end functionality and back-end functionality;|Experience in Active Directory or Microsoft Entra ID (Azure Active Directory) and Azure DevOps;|Experience with Web APIs and performing system integrations;|Experience with 3rd Party Libraries and integrating them in applications such as DevExpress and Telerik for application customization;|Usage of Web technologies, including JavaScript, XML, HTML/5, CSS/3, and web design frameworks such as Bootstrap CSS;|Experience with JavaScript frameworks such as Vue.js, React or Angular ;|Experience with PowerShell scripting (or similar);|Experience with the structured query language (SQL), and with Microsoft SQL Server database structures and stored procedures, including the troubleshooting of database performance issues;|Excellent command of the English language.","If you are seeking a career in an exciting and dynamic company, where you will offer your services as part of a team of a major European Institution, operating in an international, multilingual and multicultural environment where you can expect real chances to make a difference, please send us your detailed CV in English.",,,2026-06-09,2026-12-31,true
Business Systems Analyst,business-systems-analyst,IT & Technology,"Valletta, Malta",Full-Time,On-Site,https://outreach-recruitment-agency.careers-page.com/jobs/918b162a-3517-47e9-9753-8cc59ddfaa31/apply,"We currently have a vacancy for a Business Systems Analyst fluent in English, to offer his/her services as an expert who will be based in Malta. The work will be carried out either on the company’s premises or on site at the customer premises. In the context of the first assignment, the successful candidate will be integrated in the Development team of the company that will closely cooperate with a major client’s IT team on site.

Your tasks

• Gather, analyse, and document business and technical","Gather, analyse, and document business and technical requirements from stakeholders;|Translate business needs into functional and technical specifications;|Support the design and improvement of e-Justice, DMS, and CMS solutions;|Analyse and re-engineer business processes to improve efficiency;|Collaborate with developers, legal experts, and end-users throughout the system lifecycle;|Assist in system testing, including UAT and defect tracking;|Prepare and maintain documentation such as requirements and process flows;|Support system implementation, training, and post-implementation activities;|Act as a liaison between technical and business/legal teams to ensure alignment.","University degree (MQF/EQF Level 6) in ICT/Information Systems/Business Management/ Law, or a related field;|At least 3 years of professional experience in either: Business/technical requirements gathering for ICT systems, or Legal/consultancy work related to Maltese justice systems;|Experience in at least one relevant project, such as e-Justice systems, DMS, CMS, or similar platforms;|Excellent command of the English language.","If you are seeking a career in an exciting and dynamic company, where you will offer your services as part of a team of a major European Institution, operating in an international, multilingual and multicultural environment where you can expect real chances to make a difference, please send us your detailed CV in English.",,,2026-06-09,2026-12-31,true
Sales Office Coordinator,sales-office-coordinator,Sales,"Mellieħa, Malta",Full-Time,On-Site,https://outreach-recruitment-agency.careers-page.com/jobs/18146647-f162-4eae-a1e3-0d5a5852fd6e/apply,"Our client is seeking a highly organised and proactive Sales Office Coordinator to support the Sales Department within a dynamic hospitality environment.

The successful candidate will play a key role in coordinating group bookings, corporate reservations, and events while ensuring smooth communication between clients, the sales team, and hotel operations.

This position is ideal for someone with strong administrative and coordination skills who thrives in a fast-paced, customer-focused setting.","Coordinate group bookings, corporate reservations, and events.|Prepare proposals, quotations, contracts, rooming lists, and other sales documentation.|Act as the main liaison between clients, the sales team, and internal hotel departments.|Support administrative and operational tasks within the Sales Department.|Maintain accurate records and ensure smooth communication for group arrivals and events.|Assist in ensuring deadlines and client requirements are met efficiently.","Only candidates currently residing in Malta or candidates based in Europe holding EU nationality will be considered.|Previous experience in sales coordination, reservations, or administrative support within the hospitality industry.|Professional level of English communication skills.|Strong organisational and multitasking abilities.|Experience with OPERA or other hotel PMS systems is considered an advantage.|Good interpersonal and customer service skills.|Ability to work collaboratively within a team environment.|What’s on Offer|Opportunity to join a professional hospitality environment.|Stable full-time employment.|Supportive and dynamic team culture.|Career development opportunities within the hospitality industry.|If you are looking to grow your career within hospitality sales and coordination, we would love to hear from you. Apply today and join a team where organisation and service excellence make a real impact.","Opportunity to join a professional hospitality environment.|Stable full-time employment.|Supportive and dynamic team culture.|Career development opportunities within the hospitality industry.|If you are looking to grow your career within hospitality sales and coordination, we would love to hear from you. Apply today and join a team where organisation and service excellence make a real impact.",,,2026-06-09,2026-12-31,true
Maintenance Technician,maintenance-technician,Engineering & Maintenance,"Mellieħa, Malta",Full-Time,On-Site,https://outreach-recruitment-agency.careers-page.com/jobs/829f7fa5-c71e-467d-b35b-638c56761cb5/apply,"Our client is currently seeking a skilled and reliable Maintenance Technician to join its hotel operations team.

The selected candidate will be responsible for carrying out preventive and corrective maintenance across the property, ensuring that all facilities, equipment, and guest areas are maintained to high operational and safety standards.

This role is ideal for a hands-on technician with experience in hotel or commercial building maintenance and strong troubleshooting abilities.","Carry out preventive and corrective maintenance across guest rooms, public areas, technical rooms, and hotel facilities.|Perform repairs related to electrical systems, plumbing, HVAC, carpentry, painting, plastering, and general maintenance works.|Monitor and maintain pumps, motors, air-conditioning units, boilers, filtration systems, and other technical equipment.|Respond promptly to maintenance requests and emergency breakdowns.|Support refurbishment and improvement projects when required.|Ensure all maintenance works are completed in line with health & safety regulations and company standards.|Maintain tools, equipment, and work areas in good condition.|Collaborate with team members and other departments to ensure smooth hotel operations.","Previous experience in electrical and plant maintenance.|Experience within hotel maintenance or a similar technical environment is preferred.|Knowledge of hotel or commercial building systems will be considered an asset.|Electrical licence or certification is considered an advantage.|Ability to troubleshoot technical issues and work independently.|Good communication and teamwork skills.|Strong attention to detail and a proactive attitude.|What’s on Offer|Opportunity to join a professional hospitality environment.|Stable full-time employment.|Supportive and team-oriented workplace.|Career development opportunities within the hospitality industry.|If you are looking to grow your career within the hospitality industry, we would love to hear from you. Apply today and join a dynamic and professional team.","Opportunity to join a professional hospitality environment.|Stable full-time employment.|Supportive and team-oriented workplace.|Career development opportunities within the hospitality industry.|If you are looking to grow your career within the hospitality industry, we would love to hear from you. Apply today and join a dynamic and professional team.",,,2026-06-09,2026-12-31,true
Assistance Co-ordinator,assistance-co-ordinator,General,"Floriana, Malta",Full-Time,On-Site,https://outreach-recruitment-agency.careers-page.com/jobs/82c38d7f-8613-408f-bf72-7686caaf5422/apply,"Our client is seeking motivated and customer-focused Assistance Co-ordinators to join its international assistance operations team.

The role involves organising and delivering end-to-end assistance services to policyholders worldwide, ensuring timely, efficient, and empathetic support in often complex and time-sensitive situations. The focus is on achieving positive outcomes, including facilitating medical treatment, travel continuation, or repatriation where necessary.

This position requires strong coordination skills, attention to detail, and the ability to work closely with medical teams, suppliers, and international partners.","Duties include but are not limited to:|Determining and planning logistical tasks based on clinical guidance provided by the medical team.|Capturing all relevant case information and updating internal case management systems accurately.|Building a strong understanding of global provider networks.|Arranging medical services such as hospital admissions, doctor appointments, and treatment approvals, including financial agreements.|Coordinating repatriation logistics including commercial flights, air ambulances, ground transport, hotel accommodation, and fitness-to-fly arrangements.|Managing services related to deceased cases, including repatriation, burial, or cremation.|Liaising with internal and external suppliers to ensure cost-effective service delivery.|Coordinating closely with internal teams including medical, customer contact, and provider departments.|Ensuring accurate estimation and control of case-related costs.|Reviewing policy terms and flagging potential breaches to relevant teams.|Issuing guarantees of payment to providers when required.|Providing empathetic and professional support to policyholders at all times.|Escalating complex cases in line with internal procedures.|Completing administrative tasks including inbox management and documentation.|Maintaining up-to-date knowledge of operational processes and procedures.|Ensuring compliance with regulatory requirements, data protection, and company policies.","Fluency in French, Arabic, and Italian (written and spoken) is required.|Excellent communication and customer service skills.|Strong planning, organisational, and problem-solving abilities.|Ability to work accurately under pressure in time-sensitive situations.|Good computer literacy and ability to use case management systems.|Strong interpersonal skills and a team-oriented mindset.|Ability to demonstrate sound judgement and an inquisitive approach.|Customer-focused attitude with high levels of empathy and professionalism.|Desirable Skills|Previous experience in customer service, assistance, or claims handling.|Experience within an insurance or medical assistance environment will be considered an asset.|Understanding of FCA regulations and Treating Customers Fairly (TCF) principles.|Working Conditions|37.5-hour working week on a rotating shift pattern, including weekends and public holidays.|Some flexibility may be required based on operational needs.|What’s on Offer|Opportunity to work in an international, fast-paced assistance environment.|Training and development within a structured operational team.|Exposure to global case management and medical coordination.|Supportive and collaborative working culture.","Opportunity to work in an international, fast-paced assistance environment.|Training and development within a structured operational team.|Exposure to global case management and medical coordination.|Supportive and collaborative working culture.",,,2026-06-09,2026-12-31,true
Customer Contact Agent,customer-contact-agent,General,"Floriana, Malta",Full-Time,On-Site,https://outreach-recruitment-agency.careers-page.com/jobs/1c894811-e5c4-4b98-be1f-9bb155171de7/apply,"About the Role

Our client is currently seeking motivated and customer-focused Customer Contact Agents to join its Front Office team.

The selected candidates will act as the first point of contact for customers requiring assistance while abroad, providing professional support through calls, emails, and online communication channels. This role requires empathy, strong communication skills, and the ability to remain calm and organised in challenging situations.

This opportunity is ideal for individuals with a customer service background, multilingual skills, or students currently studying nurs","Duties include but are not limited to:|Acting as the first point of contact for customers abroad who require assistance.|Registering and creating new cases within the internal system.|Informing insured clients about procedures in an empathetic and efficient manner.|Handling calls professionally while meeting service level agreements.|Understanding insurance policy terms and conditions.|Verifying policies through internal databases when required.|Handling customer enquiries and complaints professionally and efficiently.|Managing administrative tasks and internal inboxes.|Capturing and maintaining accurate case information.|Liaising with internal departments to support case handling.|Supporting continuous improvement within team processes and operations.|Ensuring compliance with company procedures, data protection, and regulatory guidelines.|Providing excellent customer service at all times.","Fluent English is mandatory for all candidates.|Fluency in one of the following combinations is required, depending on role allocation:|English, Arabic, and French|English and French|English and Italian|Excellent communication and customer service skills.|Strong organisational and problem-solving abilities.|Good computer literacy.|Ability to work effectively both independently and within a team.|Positive attitude and customer-focused mindset.|Ability to remain calm and professional under pressure.|Preferred Skills|Previous experience in customer service, assistance, or claims handling will be considered an asset.|Insurance or travel assistance experience is advantageous.|Students currently studying nursing or healthcare-related courses are encouraged to apply.|Working Conditions|Full-time role based on a 40-hour week.|Rotating shift pattern including weekends and public holidays.|What’s on Offer|Opportunity to join an international and dynamic customer assistance environment.|Professional training and career development opportunities.|Supportive team environment.|Competitive remuneration package based on experience.|If you are passionate about helping people and thrive in a customer-focused environment, we would love to hear from you.","Opportunity to join an international and dynamic customer assistance environment.|Professional training and career development opportunities.|Supportive team environment.|Competitive remuneration package based on experience.|If you are passionate about helping people and thrive in a customer-focused environment, we would love to hear from you.",,,2026-06-09,2026-12-31,true
Auditor Doctor,auditor-doctor,Finance & Accounting,"Floriana, Malta",Full-Time,Hybrid,https://outreach-recruitment-agency.careers-page.com/jobs/c38f2b17-5616-4130-9cc6-eb39b6a286de/apply,"Our client is seeking an experienced and highly skilled Auditor Doctor to join its Travel Medical Assistance team.

This role is responsible for the clinical review, validation, and auditing of medical assistance cases worldwide. The selected candidate will ensure that all medical decisions, treatments, and costs are clinically justified, evidence-based, and aligned with insurance policy coverage and international medical standards.

The role is central to ensuring patient safety, quality of care, and effective cost control across global medical cases, while supporting operational teams in real time.","Medical Review & Case Regulation|Review and medically validate travel medical assistance cases, including outpatient care, hospitalisations, surgeries, evacuation, and repatriation.|Assess medical necessity, appropriateness of care, length of stay, and treatment plans.|Provide second opinions and medical recommendations to assistance coordinators and case managers.|Identify cases requiring escalation to the Medical Director.|Cost Containment & Compliance|Ensure treatments and services align with medical best practices, internal guidelines, and insurer policies.|Evaluate high-cost cases and propose cost-effective alternatives without compromising patient safety.|Validate medical invoices and support billing audits by confirming clinical justification of services rendered.|Detect potential over-treatment, non-covered services, or billing inconsistencies.|Coordination & Stakeholder Collaboration|Liaise with international hospitals, clinics, treating physicians, and medical providers.|Work closely with assistance operations, claims, legal, and network management teams.|Provide medical input during negotiations with providers when required.|Medical Governance & Quality Assurance|Contribute to the development and updating of medical protocols, clinical pathways, and audit criteria.|Participate in clinical audits, peer reviews, and quality improvement initiatives.|Ensure compliance with ethical standards, medical regulations, and data protection requirements (e.g. GDPR).|Reporting & Documentation|Maintain clear and accurate medical documentation and audit notes.|Produce regular reports on case trends, cost drivers, and medical risk indicators.|Support internal and external audits with structured medical analyses.","Medical Degree (MD or equivalent) from an accredited institution.|Valid medical license (active or eligible depending on jurisdiction).|5–10 years of clinical experience.|Strong clinical judgment and analytical skills.|Solid understanding of international healthcare systems.|Ability to balance medical quality and cost efficiency.|Excellent communication skills (written and verbal).|High level of autonomy and decision-making ability.|Ability to work under pressure in time-critical situations.|Fluency in English is required.|Desirable Skills|Postgraduate training or experience in Emergency Medicine, Internal Medicine, General Practice, Anaesthesiology, Critical Care, or Travel/Tropical Medicine.|Experience in medical assistance, travel insurance, insurance medicine, or medical auditing.|Experience in international healthcare coordination.|Additional language skills will be considered an asset.|Working Conditions|Office-based or hybrid role with limited or no direct patient contact.|Flexibility required for on-call availability for complex or high-risk cases.|Collaboration across multiple time zones.|What’s on Offer|Strategic medical role with global exposure.|Competitive remuneration package.|Opportunity to influence international medical standards and patient outcomes.|Professional development in medical governance and insurance medicine.",Strategic medical role with global exposure.|Competitive remuneration package.|Opportunity to influence international medical standards and patient outcomes.|Professional development in medical governance and insurance medicine.,,,2026-06-09,2026-12-31,true
Nurse Advisor,nurse-advisor,Healthcare,"Floriana, Malta",Full-Time,On-Site,https://outreach-recruitment-agency.careers-page.com/jobs/1466cdbd-6ddc-4fc6-8638-a33b99297549/apply,"Our client is currently seeking a qualified and compassionate Nurse Advisor to join its medical assistance team.

The selected candidate will support the management of emergency medical assistance cases, ensuring high standards of patient care, accurate medical assessments, and effective coordination with operations teams and healthcare providers worldwide.

This role is ideal for a nursing professional who enjoys working in a fast-paced, international environment and has strong communication, decision-making, and organisational skills.","Duties to include but are not limited to:|Triage: review initial diagnosis and determine patient requirements (urgency, critical care, location etc.)|Authorise medical tests, surgery and hospitalisation, such as MRI and CAT scans in simple cases|Working closely with the Operations team:|o Offer advice and opinion on best course of treatment of the condition suffered in simple cases, taking into account the insurance policy coverage, pre-existing conditions etc.|o Refer cases to external clinical advisers where appropriate|o Review medical information from providers (medical report and medical contact).|o Follow up patients' progress throughout the course of treatment/hospitalisation to ensure appropriate care and quality services are provided, taking decisions in simple cases and referring to doctors where necessary.|o Assist in the organisation of medical evacuation and medical repatriations|o Advise on potential breaches of policy terms by requesting and reviewing PMH and medical declarations as appropriate|o Review potential fraudulent invoices (medical necessity and cost) to ensure the Company has not been overcharged or that the patient has not been overtreated.|Ensure medical information is entered into the case management system|Ensure that all regulatory guidelines are adhered to, for example Patient Confidentiality|Support Managers to manage the key risks within your department.|Ensure that you conduct your role in accordance with company policy (to act honestly and with integrity) and to report any suspected incidents of fraud and corruption.|Adherence with all Company Policies and Procedures, including Health & Safety, Equal Opportunities, Data Protection, Code of Conduct, Security, IT and Internal Control Financial Regulations.|To undertake any other duty or responsibility that may reasonably be allocated by your Manager/Company's Senior Management Team.","Nursing qualification such as RGN or SRN is essential.|Minimum of 3 years' experience in a nursing role working alongside medical doctors.|Excellent customer service and communication skills.|Strong decision-making, problem-solving, and organisational abilities.|Ability to remain calm and professional in critical situations.|Good computer literacy and administrative skills.|Strong written communication and reporting skills.|Ability to work independently and as part of a team.|Good understanding of patient confidentiality and professional healthcare standards.|Preferred Skills|Previous experience in travel insurance, emergency assistance, or aviation medicine will be considered an asset.|Strong primary care and medical procedure knowledge.|Working Hours|Full-time role based on a 40-hour week, Monday to Friday.|Flexibility is required for occasional on-call shifts during nights and weekends.","Opportunity to work within an international medical assistance environment.|Professional development and career growth opportunities.|Supportive and collaborative working environment.|Competitive remuneration package based on experience.|If you are a dedicated nursing professional looking to further your career within medical case management and international healthcare support, we would love to hear from you.",,,2026-06-09,2026-12-31,true
Summer Waiter - Mellieha,summer-waiter-mellieha,Hospitality,"Mellieha, Malta",Full-Time,On-Site,https://outreach-recruitment-agency.careers-page.com/jobs/22c814c2-a67e-4059-824c-c9f344947b8e/apply,"• 

    

        
• 

    
    
• 

    
    
• 

    
• 
    
• 

    
• 
   
    
    
• 

    
• 

    
• 
    
• 
    
      
• 
    

    
• 
    
      
• 
    

    

        
            
            
              window.dataLayer = window.dataLayer || [];
              function gtag(){dataLayer.push(arguments);}
              gtag('js', new Date());

              gtag('config', 'G-XZZNFPW0ML');
            
        

        
        

Summer Waiter - Mellieha | Outreach Recruitment Agency

    :root {
        --default-primary-color: #442DFA;

        --default-secondary-color: #442DFA;

        --banner-opacity: 0.5;

        --paragraph-font: 'Roboto', sans-serif;

        --heading-font: 'Inter', sans-serif;

    }

    
    
        

            
                
            
        

        

            

                Company website
            

            

                
            

        

        
            
                
                
                
            
        
    

    
        

            

                
                    
                
            
            
        

        

            

                

                    
                

                

                    

No name
                    

-
                

                
                    

                
            

            
                
• 
                    
                        
                            

                        

                        My profile
                    
                
                
• 
                    
                        
                            

                        

                        My applications
                    
                
                
• 
                    
                        
                            

                        

                        My referrals
                    
                
            
        

        Company website

        

            
        
    
    
    &times;

    
        

            
                Current account
            
            

                

                    
                

                

                    

No name
                    

-
                
            
        
        
            
                

            
            Sign out
        
    

        

    

        

            

            
            

                

Summer Waiter - Mellieha
            
            
            

                

                    
• 
                        
    

    
    

    

Mellieħa, Malta

                    

                    
• 
                        

    

Full-Time

                    
                    
• 
                        

    

On-Site

                    

                

                

                    

                        
                            Apply now
                        
                            
                                Refer
                            
                    
                    

    Share:
    
        
    
    
        
    
    
        
    
    
        
            
                

            
        
    
    
        
    
    
        
    

                
            
            

             

                
  
    
• 
      
        
  

      

  

          
•           Job Openings
  

      
•           Summer Waiter - Mellieha  

            
            

                
  
    
• 
      
        
  

      

  

          
•           Summer Waiter - Mellieha  

            
            

            
            

                

Job Description:
                

                     

SUMMER JOB: Due to the seasonal nature of the role, only European candidates will be considered.

We are currently looking for dedicated and enthusiastic PART-TIME and FULL-TIME waiters to join our clients for the summer season.

This is a fantastic opportunity for someone who thrives in hospitality and is committed to delivering outstanding guest experiences.

If you have a passion for service, attention to detail, and enjoy working in a dynamic environment,  we want to hear from you!",,,,,,2026-06-09,2026-12-31,true
